"","p_cntrl2730","p_cncr5987","p_cntrl5081","p_cncr1718","p_cncr2573","p_cncr2035","p_cntrl2972","p_cncr6812","p_cntrl9873","p_cncr4188","p_cncr9002","p_cncr9466","p_cncr8865","p_cntrl5767","p_cncr2978","p_cntrl6376","p_cntrl8387","p_cncr3595","p_cncr4026","p_cncr9591","p_cntrl8413","p_cncr9070","p_cncr6166","p_cncr1817","p_cntrl6666","p_cncr2162","p_cncr1856","p_cncr2882","p_cncr1259","p_cntrl5277"
"11001011110000010001",458477,2207,2841609,18023,4734,21713,3285,6058546,67696,5762483,526631,957,6300,940798,12629,1132,367,12552,1683632,4360,2148139,68677,4912,84681,462295,65325,10767,24874,246625,114
"00100100011000000000",4254,55,13693,517125,7,3506,18624,4397,114743,4300,24967,1885,8763,923696,2104599,745526,1157620,211,13793,113,401646,15722,1075,9803,496722,14951,84184,26225,39,1113355
"11001111001001101010",183582,17963,6207,64661,1007,21646,282739,14737,15696,11370,201560,1898,7523,915,5033,4764,17529,54686,61041,2285,40570,192522,1023,797701,9207,17276,258968,312187,1153773,261346
"11100101010100110011",3527,1315802,8749,323697,1912394,6452598,24561,12361,11079,9730,2263,57559,44686,33442,211325,3245,16687893,7375,815289,95112,70991,78195,36538,4142,98790,2664274,3742170,651602,8129730,672750
"10111101010111111011",897,65004,2465,101378,454191,1714808,15504,81991,217814,1819589,299,694236,463432,3010604,44825,49723,726,17932,37681,1177445,78791,82995,62541,17265,4075631,13642,885413,13936,81012,1377
"01110111100011001001",1891366,1318707,764324,8638,1631024,613463,3253,22718,1455543,111,922,5537,557024,26077,8761,127706,29254,3963,1275403,22460,31034,111335,2985,1167000,67694,9796,195206,743,23691,41929
"00010000100011101100",475578,1736,1722900,323207,471,1389887,630351,686148,17842528,262188,5832509,101522,17417,8796,131697,2091339,699078,1093,335812,5682,25556,80,6250,1881094,3614,37,5438308,117,7,115979
"01011110110000111111",4910,739921,957159,10362,13985,138639,10002,250,1022970,543378,1045531,34725,37744,612,2020581,33070,5413,3832,1724503,183318,1181561,303937,517133,172073,668614,9058930,70769,1594410,10478,61469
"10010101011111011110",1966,2348,7831,319085,25561,1536861,1758,10684,229948,1774850,186967,234352,623717,91949,734,3635,7103,323490,24163,387019,2874,41340,35389,571001,69584,4741,4429404,9712,286,130584
"01011000001101110010",4368,5088,958054,2691,929,1097587,82809,4692855,769,2973,277,417971,116231,294626,79280,1493290,143041,17041431,187667,165629,10505,211371,44945,384,80,17771,552142,292416,77935,68102
"11111010110011010111",11172,2235,91874,686831,783,32790,2812,3014,234350,5552,21546,156187,13333,696062,107241,49557,4523129,2561,366412,298124,2040652,1958713,50400,285768,814,805,306295,667,20544,12970
"11111101001001100111",852884,1151627,23866,342277,100,17847,3191060,82343,656345,1771255,365225,6177,109909,26430,14707,5756692,141056,91,5800,2121,12762,4567,2585,121816,83568,991142,953,341,26314,117960
"11111110010001010000",3169,5990,445401,23008,11520,129950,92869,402887,11646,7303,134456,29035677,144010,370201,341577,8891,113062,559724,1091659,7937,12387,2224019,15991,9626577,51255,3379,294442,6086,363465,23547
"00001010101110100110",9372,429803,72426,18766,8161,81322,8,12243,4932797,508727,86365,73562,121844,799865,20776413,21782,2469,20773,1557,81857,510702,138,29244,17686,130921,37408,8180873,518751,10420,34619
"10110011001110101101",11391,738299,9443,49870,228523,1874,18920,38872,1664642,31948,13495,85083,5761924,166635,3459319,12022,644472,4044112,35300,676125,1998,45766,1929,109229,14862,8235,16419839,536350,299643,4807155
"11100001011101111001",9608,10675,24662,30455,32064692,82905,16316,56188,562672,103067,9772,13527,13225,182538,14898,9920,65760,688928,452734,1802781,238819,23436211,68643,148724,26126,71310,46137,12141,429184,294683
"10000010101010011011",177104,907497,1682102,3519583,375,1074809,32485,38428,25056,50491,912033,876,425012,2812,8274,6207,80470,5394,98252,96221,166999,73,120083,22495,495246,163,25056,478758,4263,2252
"01000100011011010100",10746,375444,214593,97112,1079967,30098,135181,445766,82547,464392,14382,2325,36459,1192787,37377,235,862,136561,2706399,1658790,81744,3857,1406,2214335,27807,286213,47335,4831,6713,3092
"00100111001110111100",24290,979067,260425,1179,42519,261760,3701,15178,7302,17335,9246,185,2530139,29902,45999,2097614,542298,405189,370,1356,106697,525814,394606,211,17503,215028,257,42793,1158,29571
"00001101001110110001",332353,25055,82870,26775,325,194632,288172,18428,829350,20926607,136843,262237,87006,4419,3506881,49127,14239,2259,1650003,72601,1869670,1,83666,195336,4778,742069,4693,562291,504,13009
"11110011000110010000",1760166,16182,24195848,887,275725,1175801,36127,751,11559,35899,518424,279203,1124137,1077881,1374541,1893,3079,5002977,2,25450,21096,61307,9137,2404,164315,2803243,217666,34959,42117,75526
"11110110000010101000",21192,47470,2303,95390,1614,2641161,127830,4470,11521,35957,119648,503742,62950,385817,18437,74437,36670,142818,22472,18168,10561,10284,22934,241697,9089323,48330,2557,71,52580,1481009
"11111101000011011000",4894,193449,1082,1334729,157879,32594,468752,183,58100,848,586211,241030,204231,251402,243203,6054,170452071,4151,8368,835278,4321,3868,1123236,9913,39318,2560,56350,52685,1391,29390
"11100111011111001110",3349,1187329,576989,201372,21082,171555,19262,5371,1806,565451,3969,358767,34108,1255931,31751,701381,289948,103890,373,10743474,850868,23826,65710,1508961,5330,226025,383,6667,195156,72816
"01011011101100001100",162423,511251,40246,523866,18546514,39888,66642,26291,4017105,1084710,21002,1555502,11232,24337,4899,82,6626,465464,210798,1069,12875,41060,83264,14805,9066,1340,2697,63122,273199,769443
"11100110110000011011",52492,3477,46929,8177479,902919,31178,980340,10404,14613308,963,438981,28633,1706,7179,102660,2960,15416,908555,202644,193010,761,48059,20509,659202,57086,20079,261493,4269,108973,83236
"10011011110101011110",684403,26494,2701,138939,38057,662025,7678,2187,53502,8277742,5213,6250395,161353,2124,7267,28688,1458,113505,12953,81308,10950,18,564006,183596,12029,538,45245,25058,401,97908
"11010101110101010000",53136,91318,3337,271183,1443977,586903,34182,19454,228576,176,33626,16671,38002,65856,2120,56409,37722,137886,24505,7792,357200,230646,1907,288178,266303,157781,721619,1339,232,54522
"11110011011000100001",5385691,5775,459204,192010,34845,325746,567882,728934,1232,71020,2973,11354,21828,263933,1417,89030,31945,1203558,12764,302,1830215,741154,29798,9859,1146,18407,6550417,3351,103678,2750
"10010011101110001001",113151,4988,1918907,62959,4849,632961,8065,176058,241579,77580,2579167,281149,9514271,257451,244052,121784,4522,3011,56276,1004945,111903,3120,3650,7832697,21534,4333,7383,29910,335,1886
"10001100011010101100",65410,16785,1961587,666693,166,7573,22848,63969,14683,35392,2801711,56010,6611,1089244,21570,4530154,38914,78,1812,495,10894,1,28412,333456,1053644,47,1094833,1209,39,56353
"11001001011001000100",3471,565905,2539823,2738,462,89833,67477,873,3858404,133693,3692,43,5270,153907,47123,248602,38923,155,363,550,6163,225911,1448,429362,298862,851439,263090,9494,24509,2356214
"00110010010110111101",7112337,1653638,3675,273330,3451,132114,34532,1019819,46970,52207,8527,68130,200486,104,241735,384644,607643,54040,19617,77714,907,230496,36825,173070,4153,294862,327338,5173,192871,310598
"01001000111011101011",1194829,496049,8232,30,1378,2562272,95208,6835857,279,1404,25405,24908,10520,21232,84127,210925,231118,100,403,713,889222,292600,14910,2321,12200,8809538,67561,174,5174,9796
"11000001010101011101",1393731,39000,92589,8322,29753,4976,73,165411,58354,140062,1101646,87480,34399,50564,164333,32846,25435,48263,27766,190,19403,1189023,66917,194,30840,34527,333635,607,12042,47923
"11000100000001101100",20517932,2550850,552742,70891,7074,6596,303255,956589,273492,5157,5926,3323,229905,728745,25194,758,1319,1071,274304,1708,1093641,484,2404,9225,689237,119019,31099,1027,267,274716
"00010011101101000011",1234,63879,193351,9299210,1849,9768,136623,5210,54284,1381815,56992,113101,873120,2741219,281677,50275,4172,621701,204272,45472,177,3077,2315,13641759,4122,20264,1353353,817069,1562,268
"10001111001110110000",357172,966,48140,598454,776,12570,2492506,99473,1733,1339487,2063162,56155,308997,663901,159451,121127,2856,17435,8101,22414,40282,3579,4567,4391,25202,5799,415028,45914,742,46851
"00000010000001011010",75674,85229,74787,1050654,57236,624343,2374,21139,430482,19155,12963,105025,23961,12113,122345,3937396,9557,40538,5067,28910,170,33423,47349,62252218,7449,214286,1327850,17086,5180,168833
"01011001111110011111",2946,7061,9114,1275,75921,2988061,54747,22682,44630,3965,5438463,397036,59561,3291,15458,208421,18521,1204,131093,268071,140423,51998,183471,795034,491618,672,364617,2978127,116122,25283
"00101110111110110000",6094162,152656,12790,14996,5078,15041,13427,511558,55058,1842,1170376,18726,272708,494205,181378,59634,19692,5869320,919543,30167270,24964,77509,444788,12455,346304,5022784,46024,8526888,1231495,266089
"00001101111100100000",181173,555835,169068,1518,12,127843,806087,15171,4034,7595,20583,20645,3037788,61881,75061,57353,229214,4,83994,870,29574,16,55,419642,60534,468,116089,10692,78,418255
"00010001010010000101",18095,244491,308,17815,70,99803,2567833,8593,42771,1211293,160091,2620,1817623,492547,869622,26650,6464,49,609,400,1304,32,1828,159264,55313,647,348487,5296,39,6306
"10011101111000110110",1540517,331079,1083123,4279,246,62918,38643,33683,17679,3274129,195714,14783,171917,53735,1710313,96631,6273,30304,81744,1182138,3570,32,3142,8178,1949,33,550144,46090,14659,3094
"01001001100100101111",229646,33683,206057,9517,1238,238,399556,797238,74369,111505,107464,1680,59778,626937,9812,9177,1228414,346,189,3037,184307,11133,5003,141858,63743,168,6059,573,260,64841
"11010101001100001010",8548,658141,13422,252097,16,70452,126204,50144,1531192,2027,25954,1933,80201,141549,11113,2258438,2733491,1420,315,15,142003,14061,420,462379,7528,918,657,418,5,430654
"00000111000010100001",8718,232191,21669,5641404,121,233231,3285,6686,4296239,4899,77011,102157,5267099,6682,380733,943,15053,9668,124375,8118,1637294,420,251904,404028,12335,946,156385,403751,687,60696
"00101101110101100001",6159,2932,93007,72723,27,7557,587,183877,206164,312322,3412699,128724,2379,1214193,33748,251441,647004,4,830,1291,3048,2600,284,5181621,774378,115129,34313,197,2570,351581
"01100110001001000110",43369,14527,32503,1087345,378861,613,133937,68579,89827,1340,71558,23408,220910,116004,326,424048,6174,14512,1223076,621,99830,244425,1691,61560,1053126,898930,2743732,531974,11860,1727792
"01001100011111110100",401999,36119,1645406,7450,102236,391566,143175,20089,109061,71514,38786,18712,833,5645,328337,186201,2839,116955,1463223,101168,2165894,29485,35427,114153,286767,2683,66264,3432916,712,10487
"10101110000101110010",993,340111,1944451,356673,654830,13203,1201288,71682,1397450,431475,160522,5247844,788736,41,12495,9694,287,1536945,24433,1616540,6253,13959,14079066,16390,1296,188,19584,33264,163779,1075077
"10101111110101111000",2028923,3021,103240,10002066,505080,2976,6355,1620,125295,602262,106371,84015,279287,101292,124561,2808754,63032,347090,78134,892,2303810,1215420,4174,26405,5325,22745,330025,10280,56782,253041
"11111000011111110100",6714744,72314,6825,14424,93419,121546,27057,12172,2827,17382,275938,41450,73699,498746,1007,5148,99581,39179,5928,3783,17717,190751,687,59091,641315,3953,135367,35044,141794,385
"10110000111011001000",113742,4504,122897,4919,1,89041,3746933,4346,927091,303209,591749,14506,27794,11732,21725,135322,422062,153,7204,1512,77465,553026,5134,98837,9634,91120,42251,90634,21,14132848
"11111001010111000110",279464,55780,2033566,1093,317,8059,670,335946,25093,1445,1389757,30763,85675,8023,110698,54510,1053093,4,5318,39234,360246,173968,1133,46460,37251,1665,19669,298,122,146837
"00111111101001011001",4880,1176,11550,399044,274045,4550,44891,1631790,1189103,86130,190375,15916,1445266,11699,2527047,1653534,11758,42626,217764,54243276,61064,51021,2342602,12356,15500,2198168,1930,1095,49223,27727
"00110000101110000111",226591,32934,114125,405410,191,3392,9623,386,36260,603256,20304,367,416778,40390,420,1050587,958356,3,5392,3099,1075267,23854,22338,672931,1570025,71296,35045,3140,4727,42502
"01111001000001000100",73099,91408,1120757,5684,2,28697,1710903,87953,293536,21040,228,17837,4247,309840,5706,17844,175,1846,3458,122,3724,99458,3,1073103,169441,252938,176502,35812,6060,24632
"10010000010000010001",81640,3561,872236,529022,28415,12760,6721,83405,16692,115666,12530,1741560,769016,154598,362863,1065415,6512,4538,31759,47261,187931,271,947,863724,152078,4004,27574,2012128,154,15017
"00101110001110000001",17951,84677,2758,5373018,1463057,15220,977365,4973,4804,466838,3253,81377,1343360,8742,66038,221317,34018,104096,873318,6018,264777,270206,7422,348283,18325,8261,62354,9392,247641,1406
"10110110000010101110",98727,56581,8419110,1324,8833,49592,521176,192189,9792,17545,189250,5090,862741,310760,5547,376,11121,4026018,13761,228,5071,6635542,55187,2943349,459867,2954,98874,110989,76624,9237
"10000111010110000100",160435,130226,58729,26780,428,322795,860904,11349,2981,393783,8052,1498351,2470,406640,135632,2557,6679,9872923,1453280,272365,743,9,344753,51674,78061,34706,26579,367636,15940,8091
"10100100000100000011",588872,4839,26129,299698,990,2102,1840886,6017,14065,49754,14812,111261,13093,3117056,11682,538673,59587,2,7559,28,402135,398,168691,5485373,3249543,59314,32834,18,170,74424
"11110101000101001001",1067801,17421,1591,157868,9729,68096,2891090,24710,112166,26810,52978,75,7815,208395,113462,5292428,143580,8,7060,33,10384,368750,722,2081,499789,148527,412100,18,418,445381
"11101000100010111001",44,38893,179595,76,14192,117006,4107,39485,6284,53884,46569,1638986,309103,36772,55895,30794963,5095,64843,73626,183479,40400,27471,15107,12796,1352,639844,104094,137178,331963,26743
"10111010101011000101",377962,349468,145,69029,979,25567,962,17523,1180,1427565,36849,433074,476372,11924,4453,40898,32023,7679,6021145,78328,3400,3729,968887,1511,9610,9182,6041,15809,480524,315361
"01111111111010001000",5960,16930580,523002,540,438,68067,15319,178162,3017,133863464,1907589,127,6110,1412800,18697,28770,129006,2517729,5615,30489,148331,12570,378308,35519,51522,619068,17479,6612,4899299,98699
"01110110011100000001",27366962,1245048,26978,6239,18215,331447,318746,219380,8534,89947,573897,33900,870459,97296,11657663,1388,306068,22875,2216998,2597046,1588667,200196,867476,17953,1175951,10195,10510,91959,74104,57667
"10101001011101010101",8634,684095,17551,693,5016,12315,189206,23315,36924,39611,67138,849486,109311,58157,358674,65808,19438,28794,43484,1778,463723,250282,1133,90145,16816,26885,1421478,18910,1726773,50470
"11001101101110100010",159443,1686,146251,80193,5507,22949,528202,17408,23726425,269685,1358,2116,4056,126284,345011,251818,577293,7,2564,811,908995,3879,16288,14123,95334,761724,249070,537,7241,38857
"10100110011000111010",4371,225837,3199,5434652,4191,1334719,102505,127367,1212341,89473,405055,1302,1611,37509,57342,944600,52766,2155757,712263,2476,5082,763797,10936,12977,91090,16717659,449428,170,14361,2946148
"10100011111110111001",1104410,1867619,33514,64819,1392637,340057,9222,58080,3450,7876,180435,653101,901295,6324,624613,4646437,837348,2688,3854,1017,3735,1300635,67600,903,1096663,114247,10638697,29351,31878,23947
"11101110110101111000",54111,20187,6700,39935,894888,4071368,236,892378,4335164,9800,692479,33226,1307,684304,706858,6297277,596,10008318,7420,351249,8040,42637,2790,259899,552536,42415,58887,17371,73561189,35033
"10111001011011001011",2724301,5507,17859,12480,7,5283,709276,5419,6652,110370,651435,933,14011,38748,114926,38633,1877061,1276,702,57,68821,9045,618,608424,61965,2172,3743,5545,393,29224068
"01110100001110010111",93739,800462,13503847,399617,3340745,39220,33420,20268,8742,10106,5667,203102,899552,5824489,74593,112360,23616,115441,35141,21545,202028,8065076,217036,10543,237969,384678,4366,19551,9921,17
"10101010110110110101",57443,1250053,14550,649,7586,81465,304998,4474,1063606,104,479181,329204,163046,1368218,77132,2632031,38004,45527,96259,2394414,107676,79650,272983,15989,45590,4041512,159038,2156,15254,1269399
"00001110110100011110",1865,78175,99507,268990,17723,3613,21829,28721,911350,2904158,2210,2553,31891,5834,31484,850,408,52965,5312,184479,2226,1018,501316,241654,348456,17028,124309,110954,249,1246321
"10111001000101111111",1371,186484,30302,34712,52881,2666,560302,6831,194220,28935,670138,64266,86912,7508,37214,1183224,1052,354843,898,15367,18180,14022,27614,205331,176804,521163,50238,41435,5870,107305
"01100100110011000110",506708,48952,103992,1213004,96,230419,8760871,40338,554169,28634,101509,5001,10926,150883,30210,227994,2502122,395,30,131697,1308,12803,3166,20521,7647,1900,963973,1226,235,60409
"00010000100001110111",72765,73056,48628,457304,8862,2458,12559,9641,277472,196468,2938,43644,11640644,14705858,11010,150467,487490,6501,95860,314044,27321,723,9142,92948,76493,2673,97866,85735,76776,19577
"00101010110101011101",648604,4359,4921,856466,1994,538497,33403,4773,499162,2591,59780,100522,3269,273853,159212,2757,603250,44298,288189,34982,187224,5852,11955,38662,2123425,2813,480846,1224,33790,765226
"01011010000000110100",9471,2751964,235346,95948,6198554,346753,537958,20527,9519,106,174428,2508,218,4258377,5867,81777,158268,148597,362377,8357055,11508,12168,176361,107806,3710503,15967,154345,203930,9689,20692449
"01010100101001111111",39457,118124,2163,85241,2552,9415579,4568,1868893,318259,3234,39388599,153197,9737,512,13077,891977,55,26339,6,782744,167894,179615,77029,433,246112,2765500,5681,228168,175055,6171
"01001100010100110100",171100,314818,8822433,75728,15432,364608,4863,248248,133855,57174,26886,482797,1730,306180,725,38200,710142,10604,22550,945,926087,74670,260,5378,152374,66948,7716,786,3051,157125
"01110000110111000001",1731569,131323,5320,3749,211,44346,139953800,919819,5445983,1551,77063,218074,8054,371955,171574,825037,77905,107,70708,407,1518,1850,124678,174045,213461,8485,381462,11,5693,172367
"10111010001001110000",58152,70992,61028,720825,107673,37615,47844,27023,15371,53544,31313,1288728,14040,100555,3587,6063,773,77298,2161,240319,1529178,142427,9709150,323662,1031366,16521,12065,313532,266,804
"10111111101011100001",362878,41712,9331172,3645431,2503,105994,7658,1122328,1040014,63997,3975,40319,8392,1517890,6891,2945,69788,18674,70,534209,291398,41203,44808,668346,1431,28584,25753,5590159,8521,369576
"00111000100110110101",43164,74962,45242,8681,13950,22841153,1882,261,226576,340769,25809,101098,31816,76307,31026,130743,340585,158462,28703,110166,54004687,2722,21833,580052,19003,40964,567051,57645,4360153,231603
"11010101100100000001",384491,4829,28973,2818,3332,539975,631727,12829,75121,770,31195,29367,2840109,503983,22121,7252791,45274,112,84,2215,46191,1242,27563,3495,253535,493578,37016,7921,3370,2989
"00010001110011100111",1491710,3410,53666,2909021,2,520131,4812,277827,286822,52635,54747,40212,15251,1196,1106431,2089343,29479,560,1943,1325,15802,1961,55976,59899,11614,1464,7735,61,211,41070
"01101001101110111011",842,566387,1140482,191560,543492,468365,71158,11541,568540,1202666,42890,109659,850,25525,1314735,868655,10938,49114,48520,15556,7930,217883,31304,23266,163,64179,20872,24927,9120,24494
"11101000100010001001",447020,15880,1422201,16667,7619,5433,25512,12472,62632,1037,448275,1299,70373,4994365,815249,4858,4009793,35,531684,5213,1370,88676,207411,5168,29500,1268654,26614,85,150601,837361
"11010000010001010111",1197,44437,211090,2672,390,28572,47543,1472879,25961,30395,33595,3030,10008426,90784,100361,967,124127,10932,366976,29675,49832,39515,58954285,840738,113955,399717,38130,127926,41721,2185169
"11110010111010010100",17681,58086,583,30447,657519,51702,204184,14688,534976,1997968,461745,15846,693,2471333,819718,147892,425776,35429,78234,12150,148656,16839942,250566,460,151648,4171515,865121,1355858,275554,12021
"01110111111011111111",24354,75823,131285,32111,3189280,1649035,169506,494966,195073,2884622,109436,3666359,41014,2185,26726,21796,81340,1262011,22432,438764,1383,156467,8200,6475,18141,1998,51741,209222,241002,17145
"11101100011001001100",193772,54395,182077,452,73,4057,653201,227258,19163,10483,416860,178731,2009,1084801,24028,377,1435592,2020,7589,2,1774306,211719,176421,122100,32585,5960,119125,30,6850,865223
"01001011010001100000",42194,6184,701006,122952,353440,5052255,6367,26797,16936,605585,5976,45397,682415,250,1525,14839,70064,36833,281027,14647,19173137,4003,13978,25619,13332,5892,74764,7714,14605,49164
"10100001100010111100",185248,8880917,314867,76294,310375,20584,16474,2461,270285,548514,15851,89503,21781,68226,6957,440697,1408995,23067581,8834575,527,9018,1337685,2967,41812,12642,173414,5164,22909,10016,4131458
"10111111110111001000",546793,184409,873491,1008007,994,30039,115752,922071,306479,18903,5436,3771,3483,292134,140442,56733,4822,8507,503346,4487,1504404,71041,1004726,73896,5251,28676,72785,22471,102829,3364110
"01101001101011010110",81914,179302,3443,822414,162023,118683,4016,53248,684309,1695,80438,48366,17720,847,2259607,60626,17214,16234,3149723,426519,4753,289,93728,482235,180410,290155,60334,87664,785,103109
"11001011110101111111",3708,220132,366,2567,493211,173994,99512,82573,4287,34599,24,223985,1383,34389,128329,49,97473,93823,61344,7014,16011,13298,1382339,66814,27905,399001,113753,8852,5075,515
"10100011111011000101",10347,4883,2654236,17781,870581,1004,87143,98156,699530,14594724,211475,117883,13806,2619862,3882683,21575,5366843,8215,43973,13793479,785,166029,21285,27407,175337,222880,319,122806,103177,109872
"11000101000110110100",56568,1163910,32214176,169717,9803,8344,2460,58761,80413,192,37283,97749,731981,123909,117286,120,13714885,61204,4288,27471,1439867,54679,58896,67955,4867,3,182717,354503,816,78236
"01010000101000010001",631849,134202,3783,24423,44229,300767,2395,19486,1978,30642,686033,451249,50647,16841,7338588,23052,112572,197252,82064,469,37986,3677,291319,1053039,57548,316033,3036,2956,816,33458
"00010110100010100000",9080,165554,212840,2364112,184617,24618,375985,28469,93570,9303418,543227,5105,1291608,48517,38347,6691,174308,860538,132086,19256,363253,861,13052,195002,1898,419,664767,47671,1425,676683
"01010011011011001011",557524,1347334,2669,68196,47082,66552,77960,15579,7211,25518,27152,1371,421530,604408,171603,352962,57130,1263580,70771,956370,43525,1333874,6860,683,38238,494106,140094,30940,2413556,41876
"10001010111101011111",113935,1273980,1517,453066999,30504,9925059,12,3594,10659,1405,5526,19125,379062,14816,103703,345,12473,3009,1819303,173411,210600,23650,109514,4016694,54200,9554,50558,15254,66910,1686
"01000000110000100101",1736365,19188,733,308,61,2417,204206,2112568,293763,242813,3108675,6579,25609,436336,1463,39836,1454612,17,125,914,197155,8184,902,930386,6327,192,87922,128,5146,33215
"00000010001010100010",20606,128534,1042,226315,24,149052,843,4821,9314,2495228,54766,58776,553,25195,346791,215180,884,314364,193476,332209,339,4216,159605,3685779,417057,1652,18527200,49727,309,14800
"10110110110010110111",209956,93198,1411,2783,891,7335,29525,27059,6216,343803,9602,948235,875135,236684,1550,432249,250802,307852,865303,1356428,24519915,1569,4747,58476,329,151025,31299,4050,119728,82938
"00110000101010111010",75150,75546,231060,69199,456498,1871926,8749,16743,2842,19120,301536,66221,4402,2633,1851,26922,666031,297772,338835,23,100202,36771,1451,14087,228950,319,206716,5023,319421,774617
"00111101011011001101",15672320,172541,901304,354269,6,83326,4229944,1200,10797,174139,66448,257644,12297,6087414,27251,4755971,914023,346,11552,53,83540,102179,46,333311,1227112,196713,1069026,14,3705,6073672
"00101110100100100010",25298,323149,59462,10512,49840,651665,7123,22590740,132008,8435,28546,8458,24329,25015,330614,20130,22547,7231,1643927,49568,112255,449623,1660,10323,17619,279499,642956,96447,236,280165
"00101110010011100001",5437628,373,15448,210,4055,71401,239152,18150,32038,21876602,92178,856452,30942,7332,83276,166102,299373,174695,71211,679697,780446,1210768,131635,1059,2354,9996268,3750,169219,1505,387016
"11111001001110010101",1256830,1771465,23590,61329,2361,476,2942263,224046,128647,29460,3920,7956633,57539890,1975,29158,820649,9530246,145234,5976038,178394,257015,46510,82,81469,5421678,41893,86638,586574,199226,2508079
"11100100111000001011",225797,935,67540,2655,982,25913,87121,234919,429486,19824,211405,1117,35312,11035134,3559,2737293,771,0,10805,918,3468,3018,119063,26107,3004,12711,222373,11447,115339,126694
"10111110111100100100",5297,618,350,35789,75821,430716,127078,41537,46378,377802,743601,199799,12868,270756,59457,4539,760355,481013,17177,27860,1132301,6093,82305,458016,131667,5272,6794,10372,305035,15138
"11010011111101011010",78833,1401917,216234,149443,40408,713539,33,225955,1237,4052,45106,362103,1506,9020,1462,528,3249,2608744,154981,216,9493,6993,21693,50742,5404209,8168327,386,464426,7586,589671
"11101001110111110101",170844,173897,20671,234924,462,7427,475,187276,5859,1302,46518,46028,7319169,1291,6844,6186,71789,5152013,93135,916617,50238,1552404,50215,339596,27565,29256,12624,35973,47703,16522
"11101101111010100010",3702536,56064,55591,13334,2243,24685,671055,4646,411315,77071,233714,139,30993,38476,517,8737373,44276,413,959732,16,755,86,122931,379807,1522137,3581,231239,2830,32,1345699
"10011001001011010110",117012,6423494,24231,39277,1060,20787,192990,36115,42270,1160705,490648,63483,92355,1034,2214612,743,31762,1964,429642,41887,152620,582,2325,387012,34068,749,965571,9321,197,362755
"11110010000101010100",539047,5544,1065,197310,239,584,1759012,4024,261230,29613,404209,98248648,152488,39445,322698,6168,2861,2179225,28788,130760,85996,5974,109,3111,80668,461541,59942,122579,3406,78275
"00110011000100100100",2454634,542,15256,103587,149929,95956,629216,101079,3266266,2419036,5944,5436,210532,11714,559719,25490,2483,38729,28392,10817129,27069,48536,4143,141778,3764,18807,1915,4633,983545,16430
"01111110111101011111",72356,186205,33861,1185058,947285,16401342,569475,36932308,1850,210781,12311,4983,9656083,22213,478986,145539,2918921,369171,204572,44374,343134,11783,367096,123861,21028402,11702,36875,3652,11088,514976
"00010010010010101111",12736,130339,17094,997189,1791,15986,2980,109496,3468267,90185,119151,3938,204166,7584,117044,13997,45326,49993,974445,1567,47358,40,958490,147099,3265,4553508,187737,88500,1639,151128
"01001000001110100111",3073,328397,116568,665719,5224,628797,87939,8013906,356942,881,6376956,41704,9025,7433834,3999,96185,18223,37,65279,2205,25744,9240,319,2596,111533,7006,301309,28064,2018,50492
"10100010110100101110",11498,113229,1286,264429,50837,78902,448571,510880,2226,2945,5346,158494,619171,586610,246463,135856,2269194,519151,3381,344311,1025052,1280100,784466,31593,11117,83356,57815,2043941,851,1622446
"11100011011010110101",3390952,1308750,56598,4246,11520,23627,1865,25634,3884792,14123,62765,291654,499,144121,472212,21850,2204,699945,4363611,1117163,1570630,63597,227317,32942,3034101,5011,81691,31864,469,101013
"11010001101010110100",733286,4715,2015,14107,2071195,531634,111,1547,3000,182,3684942,14584,10412,607440,88332,41798,827117,8496,9108089,5391,694492,210223,5984,9675316,30718,1829870,2247,24304,458226,5985169
"11101010100001011001",778082,9585,150,84539,50572,132549,2126812,926778,148,6466,3236,14360,1504057,1236917,26486,11605,1244,8103,19330,20919,37204,56572,310,90273,45629,629646,164895,5339,31225,26368
"01111110111000010100",74501,44041716,26011,640,168620,48524,294006,4799,13798,266063,67862,127432,4721,771174,1197927,3414914,3007528,1097826,462,34065,100406453,66228,512692,7774,260170,58937,34860,1065777,161648,676748
"11101011100000001000",212446,152600,876416,11964,897792,78008,32382,70636,802818,15065,1272044,16274,227774,139663,1934,10855,187690,34016,2077,1381703,138747,278757,75689,89567,1035504,23345,57797,2260896,775368,555
"11000100111100101011",74494,2605958,141860,202,7,8045,1731444,53996,19973,28840,64712,10014,12452,314379,81108,13871,11005366,53,601,56447,3603,19351,25591,92492,139239,31967,331940,5,14441,1097134
"00010100000101100101",298022,82174,594019,45048,19,33886,44930,101703,24245,17416,236018,3558,423079,6187,998922,8185763,769422,36,460,1034,82103,149,4198,5963918,99500,13137,1110925,80,1,46925
"01010100001011011100",2022208,19196,54,6469,283444,6497,12079,2148032,316,61342,2083,1412,17754,14627,121965,224104,37100,2204362,2494,624346,16375850,1683,2195,2244,65608,69920,46978,589975,35635,2207076
"00011000110111010111",114891,24334,21874,900521,972,603,912022,380848,11693700,769108,14277,13485,27610,63485,189693,3930,69,11972,15589,7980,12107,159,68584,6396,170194,1493,337326,2033191,9639,80259
"10000010010010000101",26097,6423663,24208,3306,106485,153741,122407,180,92705,3717,61478,23952,159429,103903,448361,40876,660,392010,23955,348653,2083,18757,136970,208698,178928,2280,175352,423972,318,4784
